url,company_name,job_title,experience,education,employment_type,location,salary,working_hours,welfare_benefits,application_deadline
https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50324618&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=fe4e607c-d1ca-4fc0-a487-d227b4010517,크리니티(주),[개발자 채용] 솔루션 구축 및 프로젝트 수행,"신입/경력, 학력:대학졸업(2,3년)이상, 면접 후 결정, 마감일:2025-04-24, 홈페이지:www.crinity.com"">","대학졸업(2,3년)이상, 면접 후 결정, 마감일:2025-04-24, 홈페이지:www.crinity.com"">",,,면접 후 결정,,"복리후생
지원금/보험
각종 경조사 지원
급여제도
퇴직연금, 장기근속자 포상, 우수사원포상, 4대 보험
교육/생활
창립일행사, 워크샵, 신규 입사자 교육(OJT), 도서구입비지원, 교육비 지원, 저녁식...
근무 환경
조직문화
리프레시
내용 전체보기",25.03.25 07:46
https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50338259&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=fe4e607c-d1ca-4fc0-a487-d227b4010517,넥스트리(주),SW 신입 개발자 채용 신입 모집(정규직),"신입, 학력:대학교졸업(4년)이상, 연봉:3,500 만원, 마감일:2025-05-25, 홈페이지:www.nextree.io"">","대학교졸업(4년)이상, 연봉:3,500 만원, 마감일:2025-05-25, 홈페이지:www.nextree.io"">",,,"연봉 3,500 만원 (주 40시간)",,"복리후생
지원금/보험
각종 경조사 지원
급여제도
퇴직연금, 인센티브제, 장기근속자 포상, 퇴직금, 연차수당, 4대 보험
교육/생활
식비 지원
근무 환경
출퇴근
내용 전체보기",25.03.26 12:46
